ID,mjd,z,zErr,zWarning,cx,cy,cz,sciencePrimary,legacyPrimary,seguePrimary,segue1Primary,segue2Primary,bossPrimary,sdssPrimary,objID,mode,nChild,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,fiberMag_u,fiberMag_g,fiberMag_r,fiberMag_i,fiberMag_z,fiberMagErr_u,fiberMagErr_g,fiberMagErr_r,fiberMagErr_i,fiberMagErr_z,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,cModelMag_u,cModelMag_g,cModelMag_r,cModelMag_i,cModelMag_z,cModelMagErr_u,cModelMagErr_g,cModelMagErr_r,cModelMagErr_i,cModelMagErr_z,mRrCc_r,mRrCcErr_r,score,resolveStatus,calibStatus_u,calibStatus_g,calibStatus_r,calibStatus_i,calibStatus_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,dered_u,dered_g,dered_r,dered_i,dered_z,p_cs,p_el,label
1,53119,0.1428624,3.132692E-5,0,-0.947155723674209,0.234805971458024,0.218545626537892,1,1,1,0,0,0,0,1237661950783389800,1,0,21.0162,19.21564,18.34984,17.79782,17.26041,0.07946506,0.01507246,0.02021234,0.01844915,0.02091332,21.3532,19.49177,18.37671,17.82781,17.45922,0.08203503,0.01349089,0.008724912,0.009462288,0.01335844,19.48802,18.05661,17.06973,16.59763,16.29866,0.1171792,0.02470927,0.02215042,0.02088718,0.0309426,19.78286,17.95135,16.88869,16.35345,15.99809,0.08033656,0.008794958,0.005543184,0.0053695,0.01132376,18.52676,17.82324,16.91126,16.48959,16.25998,0.07410365,0.008779146,0.005564312,0.005383756,0.0113642,17.62076,0.1107241,0.82454,257,24577,24577,24577,24577,24577,0.06869321,0.05352529,0.03702854,0.02751618,0.02046698,19.71417,17.89782,16.85166,16.32594,15.97762,0.118000000715256,0.794000029563904,2
2,53119,0.1307087,1.60368E-5,0,-0.94722459066845,0.235187026710322,0.217836262592218,1,1,1,0,0,0,0,1237661950783324346,1,0,21.03814,19.25147,18.43818,17.96741,17.39329,0.09631711,0.01877425,0.01949729,0.01953968,0.02068386,21.42842,19.55223,18.51023,17.99579,17.6258,0.1118879,0.01219509,0.007583011,0.007320456,0.0159287,19.68771,18.01308,17.07112,16.61751,16.34855,0.1432481,0.01771592,0.01399325,0.01394966,0.02829733,19.65612,17.81016,16.81628,16.34366,15.97899,0.0784255,0.008527774,0.005626365,0.005612747,0.01213553,19.37909,17.89201,16.95358,16.50673,16.26408,0.07833205,0.008605806,0.005697078,0.0056571,0.01216918,33.88424,0.2264266,0.8129573,257,24577,24577,24577,24577,24577,0.06969573,0.05430645,0.03756895,0.02791775,0.02076568,19.58643,17.75586,16.77871,16.31574,15.95822,0.361000001430511,0.611000001430511,2
3,53119,0.3366311,8.152542E-5,0,-0.949069692279393,0.234848854473887,0.210030318642339,1,1,1,0,0,0,0,1237661950246518981,1,0,23.32223,21.2815,19.67907,19.10307,18.59816,0.7412694,0.05106143,0.03384691,0.0276234,0.04619532,23.59506,21.56968,19.79768,19.2269,18.82441,0.7382079,0.05248832,0.01847226,0.02059472,0.05120301,22.38453,20.27781,18.65386,18.1931,17.70575,1.826907,0.1099237,0.03614978,0.04744108,0.1119329,22.3783,20.3081,18.54018,17.97334,17.56544,0.7076811,0.04539452,0.01523784,0.01332339,0.03876103,21.01896,20.08963,18.5402,18.09406,17.66284,0.587558,0.06086861,0.01523784,0.01330295,0.04739143,11.52819,0.2711379,0.8271111,257,24577,24577,24577,24577,24577,0.05881349,0.04582707,0.03170296,0.02355869,0.01752334,22.31949,20.26227,18.50848,17.94978,17.54792,0.112999998033047,0.521000027656555,2
4,53119,0.1428853,5.270535E-5,0,-0.947451249965968,0.229448372279433,0.222911582014584,1,1,1,0,0,0,0,1237661813877506204,1,0,21.3567,19.59493,18.56869,18.11864,17.66252,0.1517688,0.05760527,0.03262718,0.01831949,0.0266541,21.64716,19.88277,18.80159,18.34086,17.93068,0.1558486,0.01466406,0.00933108,0.008129047,0.02006081,20.99609,18.73228,17.70642,17.23373,16.93209,0.5175276,0.02775991,0.02004996,0.02180086,0.05408659,20.70529,18.80385,17.71791,17.2472,16.85807,0.1529149,0.01224578,0.007868896,0.008010271,0.01883447,20.87437,18.76301,17.71795,17.2775,17.03501,0.1511764,0.01224182,0.007868895,0.008008915,0.01877576,12.91533,0.1264953,0.7945588,257,1,24577,24577,24577,24577,0.06412788,0.04996802,0.03456764,0.02568746,0.01910675,20.64116,18.75389,17.68335,17.22151,16.83896,0.0810000002384186,0.83899998664856,2
5,53119,0.3330331,9.514844E-5,0,-0.946478541068595,0.230773150433398,0.225659310323568,1,1,1,0,0,0,0,1237661068181504169,1,0,24.4109,21.61261,19.78143,19.24186,18.82127,0.6657317,0.05176697,0.02624523,0.02610988,0.04149895,24.38988,21.60064,19.83187,19.22379,18.82588,0.7574565,0.05610528,0.01607695,0.01936974,0.04792707,22.04578,20.34047,18.66206,18.08577,17.70912,1.145963,0.1106722,0.04037638,0.04230403,0.1106704,24.00062,20.50831,18.70449,18.11803,17.75028,1.30798,0.04024951,0.01429301,0.01362194,0.03454133,19.73203,20.26723,18.70449,18.16189,17.75454,0.8130475,0.04005904,0.01429301,0.01361658,0.03452488,7.826989,0.1606786,0.8692364,257,24577,24577,24577,24577,24577,0.06170008,0.04807629,0.03325895,0.02471497,0.01838339,23.93892,20.46024,18.67124,18.09332,17.73189,0.100000001490116,0.732999980449677,2
6,53119,0.1421232,3.395915E-5,0,-0.947473143449465,0.229614564081167,0.222647242075452,1,1,1,0,0,0,0,1237661813877506194,1,0,21.37787,19.47564,18.35321,17.88765,17.4271,0.1375873,0.05732283,0.03238349,0.01801716,0.02447872,21.62038,19.74973,18.5601,18.07503,17.65873,0.1490093,0.01260463,0.008006794,0.007985663,0.01635146,20.70065,18.67359,17.49008,16.99697,16.62013,0.3485296,0.02613828,0.01437461,0.01758953,0.03438988,20.6618,18.57473,17.38222,16.88891,16.48583,0.1511945,0.01066975,0.006493015,0.006481987,0.01446,20.62976,18.60628,17.41246,16.91139,16.53227,0.1463175,0.01068764,0.006510434,0.006496935,0.01447762,20.84549,0.177527,0.7945588,257,1,24577,24577,24577,24577,0.06410368,0.04994915,0.03455459,0.02567776,0.01909954,20.59769,18.52478,17.34767,16.86324,16.46673,0.323000013828278,0.630999982357025,2
7,53119,0.1302554,2.724981E-5,0,-0.947270513131328,0.235631839523486,0.21715480919079,1,1,1,0,0,0,0,1237661950783324289,1,0,21.16692,19.11562,18.25776,17.91374,17.3995,0.103277,0.01812333,0.01927124,0.01945921,0.0205305,21.39802,19.42118,18.38112,17.96719,17.63248,0.1046527,0.01066844,0.007064904,0.007263648,0.01454512,19.89919,18.22333,17.19708,16.8089,16.52507,0.1595455,0.02032937,0.01358898,0.01371376,0.03094737,20.14904,18.13859,17.09513,16.69499,16.34861,0.0929205,0.009016487,0.00572007,0.00589349,0.01289198,19.82594,18.12041,17.09516,16.72146,16.44088,0.1044806,0.009014186,0.00572007,0.005892578,0.01394104,13.6208,0.08811476,0.8129573,257,24577,24577,24577,24577,24577,0.06962878,0.05425427,0.03753285,0.02789093,0.02074573,20.07941,18.08434,17.05759,16.6671,16.32786,0.266999989748001,0.566999971866608,2
8,53119,0.09220681,7.713958E-6,0,-0.948214389533715,0.238430291787158,0.2098582079393,1,1,1,0,0,0,0,1237661950246387837,1,0,20.87321,19.49972,19.33373,19.03001,18.55104,0.09260383,0.02273544,0.0325021,0.02257462,0.04482908,21.03555,19.72982,19.20773,18.87133,18.70365,0.08991471,0.01329281,0.01264019,0.01304468,0.04493336,19.17783,18.26257,17.78388,17.47266,17.23785,0.09283693,0.01649361,0.01386747,0.01928908,0.06955748,19.42718,18.19676,17.73669,17.41374,17.23273,0.05613058,0.008876631,0.008750664,0.009134592,0.03188457,19.11497,18.15973,17.73668,17.43305,17.11146,0.06017262,0.008870683,0.008750664,0.009135785,0.03257912,39.34602,0.4923975,0.8305296,257,24577,24577,24577,24577,24577,0.06024932,0.04694586,0.03247693,0.02413384,0.01795114,19.36693,18.14982,17.70421,17.38961,17.21478,0.303999990224838,0.695999979972839,2
9,53119,0.078592,1.330532E-5,0,-0.948612820791804,0.238797008951514,0.207628766661143,1,1,1,0,0,0,0,1237661812803567687,1,0,19.8403,18.12172,17.30683,17.00849,16.67241,0.0474192,0.01811893,0.02296759,0.02029941,0.01488796,20.18764,18.42384,17.58638,17.19492,16.88622,0.04811031,0.005522587,0.004390098,0.004234091,0.01121706,19.11947,17.41528,16.59369,16.23374,15.93725,0.07324585,0.006708281,0.005354099,0.005806522,0.01877735,19.09873,17.34695,16.50399,16.15907,15.82169,0.03921248,0.004973784,0.004036607,0.004048613,0.009293718,18.89004,17.3171,16.50399,16.19215,15.88945,0.03889922,0.004972449,0.004036607,0.004047146,0.009287333,14.30874,0.04708602,0.7841161,257,1,8193,24577,24577,24577,0.06299284,0.04908359,0.0339558,0.0252328,0.01876857,19.03574,17.29786,16.47003,16.13384,15.80292,0.137999996542931,0.792999982833862,2
10,53119,0.1086656,1.963979E-5,0,-0.94819525876596,0.235452983177466,0.213278325121393,1,1,1,0,0,0,0,1237661813340504178,1,0,20.53154,18.53378,17.59863,17.19265,16.84487,0.06234568,0.02243667,0.03067552,0.0139805,0.01512293,20.73212,18.84208,17.81198,17.40382,17.03469,0.06006209,0.00736097,0.004920908,0.005098611,0.01089996,19.51706,17.46388,16.45299,16.04487,15.73156,0.1412766,0.01379484,0.01027245,0.01087877,0.02084049,19.35213,17.34751,16.34267,15.9229,15.57334,0.05371388,0.005920703,0.004089938,0.00427989,0.008541355,19.34893,17.32031,16.34267,15.92604,15.65318,0.05376643,0.005919927,0.004089938,0.004279379,0.008533482,18.05995,0.06886411,0.7876098,257,1,24577,24577,24577,24577,0.06153735,0.04794949,0.03317123,0.02464978,0.01833491,19.2906,17.29956,16.3095,15.89825,15.55501,0.216000005602837,0.757000029087067,2
