Suburb,Type,Regionname,Rooms,Distance,Price,pred_Random_Forest,pred_Gradient_Boosting,pred_HistGradientBoosting,suburbio_nuevo
Abbotsford,h,Northern Metropolitan,3,2.5,1465000.0,1335580.1441523784,1398576.1981459265,1337256.4121195301,False
Abbotsford,h,Northern Metropolitan,3,2.5,850000.0,1242861.2772339052,1128000.0915370483,1171751.5429026913,False
Abbotsford,h,Northern Metropolitan,4,2.5,1330000.0,1971261.211002882,2160530.2217199826,2165410.6232730215,False
Abbotsford,t,Northern Metropolitan,3,2.5,900000.0,963657.9552503129,1173959.8971309392,1134488.3030313612,False
Abbotsford,u,Northern Metropolitan,3,2.5,1090000.0,841404.3536442865,1128716.4112202937,915234.9766948611,False
Abbotsford,h,Northern Metropolitan,3,2.5,1290000.0,1157107.3354400054,1409877.223585853,1505010.0644159685,False
Abbotsford,h,Northern Metropolitan,3,2.5,1290000.0,1198751.0536221052,1214594.0653101853,1234792.8605492054,False
Airport West,h,Western Metropolitan,3,13.5,770000.0,705276.754458333,661533.7199666639,703510.0615294771,False
Airport West,h,Western Metropolitan,2,13.5,603000.0,536435.5709589366,607436.4307162585,593794.7437743277,False
Airport West,t,Western Metropolitan,3,13.5,700000.0,655609.4716844986,672160.8621168227,669001.6118005574,False
Airport West,h,Western Metropolitan,3,13.5,600000.0,598671.3664943217,628350.1935669605,632405.7072476887,False
Airport West,u,Western Metropolitan,2,13.5,500000.0,464855.25171331724,440797.126228529,456861.85098261206,False
Airport West,u,Western Metropolitan,3,13.5,752000.0,530406.9837981769,595003.8420726459,590117.4167056931,False
Airport West,h,Western Metropolitan,3,13.5,810000.0,788302.5671145737,728183.4883911591,781646.4064132129,False
Airport West,h,Western Metropolitan,3,13.5,715000.0,665376.4730869246,693297.9200747203,655124.7103291097,False
Airport West,h,Western Metropolitan,3,13.5,790000.0,722736.8773347447,783504.9037191531,816259.8053470363,False
Airport West,h,Western Metropolitan,3,13.5,720000.0,698946.237231917,695622.9459712743,697025.3603727011,False
Albert Park,h,Southern Metropolitan,3,3.3,2850000.0,2148593.7611105274,2109884.391648707,2037383.9419624761,False
Albert Park,h,Southern Metropolitan,3,3.3,1850000.0,1653206.7887186804,1799876.0874120607,1747123.6520239185,False
Albert Park,h,Southern Metropolitan,2,3.3,1436000.0,1344601.0201044485,1292178.7904849206,1344312.5395031348,False
Albert Park,h,Southern Metropolitan,3,3.3,1900000.0,1788528.5235802382,1893573.1986790588,1892840.317229499,False
Albert Park,h,Southern Metropolitan,3,3.3,3010000.0,1863208.277765748,2012099.6073666099,2101093.5902785775,False
Albert Park,u,Southern Metropolitan,1,3.3,442500.0,357799.94920568285,417371.3718982644,409389.0919467859,False
Albert Park,h,Southern Metropolitan,4,3.3,4735000.0,2239302.714202804,2953156.0573564395,2851906.6174554885,False
Albert Park,h,Southern Metropolitan,2,3.3,1340000.0,1339126.2432022959,1340773.0274742784,1260837.5843232048,False
Albert Park,h,Southern Metropolitan,3,3.3,1801000.0,1760220.5238401403,1807368.9679253388,1814771.5681266368,False
Alphington,h,Northern Metropolitan,3,6.4,1492000.0,1258892.9133463665,1353738.0064435352,1314781.0399102333,False
Alphington,u,Northern Metropolitan,2,6.4,820000.0,576677.7501286354,627468.4949422401,629597.6206943224,False
Alphington,u,Northern Metropolitan,2,6.4,512000.0,475249.1199938449,470512.62833516713,465844.0583871207,False
Altona,h,Western Metropolitan,3,13.8,1120000.0,749109.94831338,816836.765297372,882747.1192076743,False
Altona,t,Western Metropolitan,3,13.8,705000.0,622675.497433988,637819.8475862689,584067.7243218235,False
Altona,u,Western Metropolitan,2,13.8,391000.0,406559.4990286845,423015.9868189247,406637.73402898264,False
Altona,u,Western Metropolitan,2,13.8,440000.0,435558.47425353865,462679.6475200472,451010.0523243303,False
Altona,h,Western Metropolitan,4,13.8,845000.0,941979.006852898,1050326.56205252,1095487.942906814,False
Altona,h,Western Metropolitan,3,13.8,840000.0,672967.094365558,706324.4772609368,677485.1464307234,False
Altona,h,Western Metropolitan,4,13.8,1030000.0,1020467.893285895,1125122.4358559716,1093637.0648545048,False
Altona,u,Western Metropolitan,3,13.8,605000.0,602473.0177220983,592086.2071345063,606396.5479525526,False
Altona North,h,Western Metropolitan,3,11.1,750000.0,684485.3641515214,765319.3125664841,721211.1523665652,False
Altona North,t,Western Metropolitan,2,11.1,421000.0,464097.2611072686,512464.10333618295,458106.5729974506,False
Altona North,h,Western Metropolitan,3,11.1,1405000.0,762097.9604393211,804868.9964617826,761573.3185619116,False
Altona North,t,Western Metropolitan,2,11.1,640000.0,610442.1246757258,627463.3838105433,598244.4349689453,False
Altona North,h,Western Metropolitan,3,11.1,815000.0,738846.2199786265,810520.6142450091,809975.7459622215,False
Altona North,h,Western Metropolitan,4,11.1,970000.0,861899.1987857877,882577.2497424362,872985.4323581662,False
Armadale,h,Southern Metropolitan,3,6.3,1870000.0,1435680.9526243836,1459657.6774657317,1503460.1264439002,False
Armadale,u,Southern Metropolitan,2,6.3,678000.0,653486.7062280318,738306.3803510708,723044.2498223177,False
Armadale,t,Southern Metropolitan,3,6.3,1918000.0,1221420.4146717994,1343888.7064233536,1465694.620191753,False
Armadale,u,Southern Metropolitan,2,6.3,660000.0,563755.5299441625,589595.6784957956,617909.9914786422,False
Armadale,h,Southern Metropolitan,3,6.3,2050000.0,1534931.2874079808,1655940.37114349,1738655.7450402603,False
Armadale,h,Southern Metropolitan,3,6.3,2360000.0,2073722.6341239256,1692218.9728228918,1932104.4010105187,False
Armadale,h,Southern Metropolitan,2,6.3,1900000.0,1319068.7138830305,1134806.2935485044,1294678.5802007872,False
Armadale,u,Southern Metropolitan,1,6.3,440000.0,428216.3478998985,385816.39194835664,390409.74811884254,False
Armadale,u,Southern Metropolitan,2,6.3,710000.0,597962.9193356154,585729.5076342144,584666.6370950192,False
Armadale,u,Southern Metropolitan,2,6.3,872000.0,637870.7605952063,699663.3036297569,649862.5397934373,False
Armadale,u,Southern Metropolitan,2,6.3,598000.0,607466.1462844461,624426.5871276424,615553.7371549989,False
Armadale,h,Southern Metropolitan,3,6.3,1285000.0,1269052.103821455,1426997.7606784336,1334077.5921863066,False
Armadale,h,Southern Metropolitan,4,6.3,3660000.0,2093880.3666735906,2236047.6495700446,2518206.448875396,False
Ascot Vale,h,Western Metropolitan,3,5.9,1380000.0,1230234.013568044,1212312.393562673,1221349.136927246,False
Ascot Vale,u,Western Metropolitan,2,5.9,490000.0,451681.0335705529,432660.05041000695,419369.8755469633,False
Ascot Vale,h,Western Metropolitan,4,5.9,1850000.0,1554884.5689099256,1680452.9815470863,1726459.3430837544,False
Ascot Vale,h,Western Metropolitan,3,5.9,1284000.0,1204110.4810147493,1219770.547738194,1229902.148303405,False
Ascot Vale,h,Western Metropolitan,3,5.9,1440000.0,1132127.0466443212,1147291.051638735,1147923.809154422,False
Ascot Vale,h,Western Metropolitan,2,5.9,955000.0,929455.5483428937,853982.781694241,866013.9104948838,False
Ascot Vale,h,Western Metropolitan,2,5.9,1150000.0,957891.7762943545,914447.6068233112,922262.9048442334,False
Ascot Vale,h,Western Metropolitan,3,5.9,1350000.0,1096860.1471906458,1176225.865797335,1152571.3872876433,False
Ascot Vale,h,Western Metropolitan,5,5.9,1905000.0,1349177.349768004,1374771.8147767049,1398034.0763520538,False
Ascot Vale,t,Western Metropolitan,2,5.9,865000.0,733778.848697019,682887.301478026,734477.1263153319,False
Ascot Vale,u,Western Metropolitan,2,5.9,390000.0,427689.9875338862,364395.54316011607,384955.88251695526,False
Ascot Vale,h,Western Metropolitan,4,5.9,1345000.0,1234159.8311953028,1234827.4824281505,1260045.6648121332,False
Ascot Vale,h,Western Metropolitan,3,5.9,1381500.0,1313261.540162576,1326283.732404746,1350128.0016876243,False
Ashburton,u,Southern Metropolitan,2,11.0,500000.0,521425.58337484224,528662.0053965586,550124.5849102319,False
Ashburton,h,Southern Metropolitan,2,11.0,1575000.0,1500413.6057840146,1265391.9644062254,1333782.4262667361,False
Ashburton,h,Southern Metropolitan,5,11.0,3510000.0,2948128.845009558,3090760.229236397,3101029.8004146377,False
Ashburton,h,Southern Metropolitan,4,11.0,1800000.0,1966753.6997164083,2002960.5754907255,1840686.8442027054,False
Ashburton,h,Southern Metropolitan,3,11.0,1830000.0,1641339.1078862923,1811684.9339038343,1716206.0127166566,False
Ashwood,u,Southern Metropolitan,3,12.2,1045000.0,897737.2510599465,915043.8604650644,857682.4222592622,False
Ashwood,h,Southern Metropolitan,4,12.2,1200000.0,1208422.6968973288,1226564.9421245581,1087027.034454378,False
Ashwood,u,Southern Metropolitan,2,12.2,600000.0,676702.4075128234,546559.2592822417,577335.6507892432,False
Ashwood,h,Southern Metropolitan,3,12.2,1305000.0,1232982.2576717779,1230520.073190562,1234378.9932012013,False
Ashwood,h,Southern Metropolitan,3,12.2,855000.0,793047.5998152756,860700.7028384112,803568.6896558678,False
Avondale Heights,h,Western Metropolitan,3,10.5,848000.0,727318.0549718016,697299.0516293725,692836.6747901113,False
Avondale Heights,h,Western Metropolitan,4,10.5,806000.0,729473.4212574594,755471.0638186911,775815.3564374987,False
Avondale Heights,t,Western Metropolitan,2,10.5,585000.0,527685.4291143904,534555.0538798055,538471.8570722677,False
Avondale Heights,u,Western Metropolitan,2,10.5,440000.0,487344.28568672994,506331.0077350434,484890.46802071645,False
Avondale Heights,h,Western Metropolitan,3,10.5,850000.0,869395.7763984253,867410.9618284085,886673.5628101801,False
Avondale Heights,h,Western Metropolitan,3,10.5,730000.0,799138.0618256675,853538.6699474158,838299.6984159894,False
Avondale Heights,h,Western Metropolitan,3,10.5,875000.0,894720.6598116886,831084.215924174,915693.9248101999,False
Avondale Heights,h,Western Metropolitan,3,10.5,850000.0,772138.0557256135,793992.1878879665,822974.548881644,False
Balaclava,h,Southern Metropolitan,2,6.6,981000.0,1242756.2072662467,1049709.3989657725,1062923.9169263134,False
Balaclava,h,Southern Metropolitan,3,6.6,1690000.0,1961712.4196058237,1857617.8231408899,1847035.1402344387,False
Balwyn,u,Southern Metropolitan,2,9.7,812000.0,770401.5542085844,740700.4143169315,731420.0737596524,False
Balwyn,u,Southern Metropolitan,2,9.7,754000.0,606623.4782202723,564953.957015898,606469.4801117379,False
Balwyn,h,Southern Metropolitan,4,9.7,2275000.0,2232310.792162752,1980604.0408827893,1883910.9573799858,False
Balwyn,h,Southern Metropolitan,5,9.7,2810000.0,2702854.5703782723,3012635.743446195,2924646.946182157,False
Balwyn,t,Southern Metropolitan,3,9.7,1385000.0,1188101.3534500888,1337180.2926329512,1326168.5203414583,False
Balwyn North,h,Southern Metropolitan,3,9.2,2000000.0,1813417.3809535163,1788961.3383448182,1883361.8402214348,False
Balwyn North,h,Southern Metropolitan,4,9.2,1750000.0,1768871.097654107,1917445.2905234275,1750078.6057897354,False
Balwyn North,h,Southern Metropolitan,3,9.2,1450000.0,1646397.4261340934,1439875.482322449,1493669.924034366,False
Balwyn North,h,Southern Metropolitan,4,9.2,2614000.0,1979974.9420295793,2051755.3432731882,1952985.7898741018,False
Balwyn North,h,Southern Metropolitan,4,9.2,1825000.0,1685997.8124061173,1991817.4548562274,1717574.4459050288,False
Balwyn North,h,Southern Metropolitan,4,9.2,2550000.0,2232559.907100009,2139208.242144317,2093255.641764477,False
Balwyn North,h,Southern Metropolitan,4,9.2,1670000.0,1802121.2885979833,2079280.826743449,1856922.035060777,False
Balwyn North,h,Southern Metropolitan,4,9.2,1720000.0,2066998.708748162,2095951.2502803889,2107340.508668383,False
Balwyn North,h,Southern Metropolitan,4,9.2,1670000.0,2055065.2419797978,2033662.3358281434,2024505.6467426268,False
Balwyn North,h,Southern Metropolitan,2,9.2,1350000.0,1263528.2856031219,1138413.7307540926,1150890.4888177416,False
Balwyn North,h,Southern Metropolitan,4,9.2,1675000.0,1747412.5010465244,1888617.2330267103,1717379.5309492068,False
Balwyn North,t,Southern Metropolitan,4,9.2,1680000.0,1569150.6453154532,1457673.5427054851,1579841.079582353,False
Balwyn North,h,Southern Metropolitan,3,9.2,1520000.0,1482679.819469566,1555629.7475158344,1578988.38159608,False
Balwyn North,h,Southern Metropolitan,4,9.2,1250000.0,1682318.679873918,1678333.6930896414,1756646.5766509257,False
Balwyn North,h,Southern Metropolitan,6,9.2,1900000.0,1970183.8624028566,2022817.1699061762,1792401.5741297817,False
Bentleigh,h,Southern Metropolitan,4,13.0,1260000.0,1436350.786351931,1535176.6654934094,1583343.3374841241,False
Bentleigh,h,Southern Metropolitan,3,13.0,1470000.0,1338180.4673224662,1293421.6008852713,1344951.9903498888,False
Bentleigh,u,Southern Metropolitan,2,13.0,725000.0,679942.2484124573,686685.0250369622,758688.5675032353,False
Bentleigh,t,Southern Metropolitan,3,13.0,825000.0,936810.4892495086,974633.7192614567,927505.2372186795,False
Bentleigh,t,Southern Metropolitan,3,13.0,1235000.0,911977.5184499976,919226.4419248104,921986.9321422236,False
Bentleigh,h,Southern Metropolitan,3,13.0,1280000.0,1338870.550424303,1315397.9338617297,1332009.5369992943,False
Bentleigh,h,Southern Metropolitan,5,13.0,1900000.0,1642230.3345671082,1736317.588015593,1746928.4679268333,False
Bentleigh,h,Southern Metropolitan,3,13.0,1230000.0,1380150.5512136382,1343607.8084423898,1365379.6870996968,False
Bentleigh,h,Southern Metropolitan,4,13.0,1150000.0,1570358.7247150193,1388975.3294634474,1444899.1256169653,False
Bentleigh East,t,Southern Metropolitan,3,13.9,1115000.0,893274.4786674562,1001212.1525425069,923372.381475605,False
Bentleigh East,h,Southern Metropolitan,4,13.9,1190000.0,1209569.2827358015,1264368.7579082367,1235049.648056116,False
Bentleigh East,h,Southern Metropolitan,4,13.9,1270000.0,1107593.9143278832,988089.8279899661,1116576.093697426,False
Bentleigh East,u,Southern Metropolitan,3,13.9,1025000.0,841780.4932971995,983334.8398943564,950541.9559412881,False
Bentleigh East,u,Southern Metropolitan,3,13.9,740000.0,825573.3081021874,726438.9843454207,797045.9066318088,False
Bentleigh East,h,Southern Metropolitan,4,13.9,1960000.0,1192897.2776863514,1301907.800511072,1245889.6536872482,False
Bentleigh East,t,Southern Metropolitan,3,13.9,1030000.0,968165.2677596308,1081486.7470249538,1048594.8540278252,False
