id_entrega,fecha,comuna_destino,tipo_vehiculo,distancia_km,peso_kg,n_paquetes,hora_salida,score_gps_ruta,costo_combustible_clp,horas_entrega
2025-00469,2025-01-01,Lebu,furgon,49.62,14.73,3,17,,10221.0,2.504
2025-00387,2025-01-01,Hualpen,moto,24.5,12.39,3,6,0.6404,4460.0,0.95
2025-00030,2025-01-01,Curanilahue,furgon,35.11,5.81,2,18,,8680.0,1.956
2025-00093,2025-01-01,Talcahuano,furgon,22.73,8.74,7,7,0.4455,6045.0,1.365
2025-01168,2025-01-01,Tome,moto,10.55,3.31,2,7,,1261.0,0.507
2025-01285,2025-01-02,Santa Juana,furgon,4.79,17.94,6,7,0.3675,3764.0,0.606
2025-00033,2025-01-02,Laja,furgon,80.57,16.58,5,16,,12159.0,2.861
2025-00447,2025-01-02,Hualpen,furgon,9.75,7.22,6,7,0.8157,2663.0,0.713
2025-00231,2025-01-02,Lebu,camion_ligero,71.08,23.16,1,6,0.8966,11726.0,2.879
2025-00800,2025-01-03,Arauco,furgon,75.27,5.46,6,10,0.7265,11544.0,2.982
2025-01036,2025-01-03,Arauco,moto,87.52,9.99,1,9,,11853.0,3.002
2025-00088,2025-01-03,Lebu,furgon,75.76,7.99,5,6,,12625.0,2.754
2025-00623,2025-01-04,Coronel,camion_ligero,17.86,16.99,1,8,0.665,3878.0,0.856
2025-00374,2025-01-04,Talcahuano,moto,16.95,22.36,8,11,,3904.0,0.935
2025-00347,2025-01-04,Talcahuano,moto,26.19,40.71,5,19,0.7011,4822.0,1.152
2025-00457,2025-01-04,Arauco,camion_ligero,54.25,7.86,2,19,,14764.0,3.411
2025-00149,2025-01-04,Penco,camion_ligero,15.24,18.34,2,16,0.6284,2736.0,0.818
2025-00923,2025-01-04,Arauco,moto,70.25,19.27,2,11,,8061.0,1.793
2025-00691,2025-01-05,Nacimiento,moto,67.43,40.63,3,12,,7273.0,1.933
2025-01020,2025-01-05,Tome,camion_ligero,27.86,15.02,6,13,0.4516,6267.0,1.516
2025-00190,2025-01-05,Nacimiento,moto,60.68,28.92,4,10,0.6742,8132.0,1.798
2025-00317,2025-01-05,Curanilahue,moto,84.35,32.28,1,12,0.7536,10795.0,2.57
2025-01299,2025-01-06,Concepcion,moto,18.38,15.36,6,13,0.711,2893.0,0.919
2025-01310,2025-01-06,Concepcion,moto,15.82,26.81,5,18,0.569,4138.0,1.014
2025-01245,2025-01-06,Arauco,camion_ligero,79.21,3.85,5,17,0.6088,20626.0,4.973
2025-00210,2025-01-07,Florida,moto,19.44,0.92,5,6,0.4033,4237.0,1.059
2025-01055,2025-01-07,Santa Juana,furgon,11.9,28.21,5,12,0.42,3417.0,0.873
2025-00241,2025-01-07,Santa Juana,camion_ligero,20.6,9.0,6,8,0.6757,6430.0,1.549
2025-01390,2025-01-08,Concepcion,furgon,20.48,2.6,5,15,0.7911,3321.0,0.679
2025-00178,2025-01-08,Santa Juana,camion_ligero,22.86,14.97,8,17,0.721,5877.0,1.54
2025-00376,2025-01-08,Talcahuano,moto,15.87,11.93,6,13,0.8614,5150.0,1.021
2025-00861,2025-01-08,Florida,moto,18.51,12.22,4,12,0.7315,3390.0,0.78
2025-01260,2025-01-09,Yumbel,camion_ligero,56.04,26.59,2,16,0.5703,9788.0,2.394
2025-00197,2025-01-09,Cabrero,moto,81.67,6.89,8,7,,12811.0,3.288
2025-01173,2025-01-10,Arauco,furgon,54.53,2.96,7,16,0.8139,9182.0,2.017
2025-01349,2025-01-10,Tome,furgon,21.82,17.3,1,12,1.0,2693.0,0.635
2025-00337,2025-01-11,Lota,moto,9.56,33.58,7,6,0.5265,2925.0,0.499
2025-00687,2025-01-11,Florida,camion_ligero,15.77,57.35,2,14,0.709,2263.0,0.698
2025-00902,2025-01-12,Curanilahue,furgon,38.79,7.02,3,18,,8951.0,2.152
2025-00490,2025-01-12,Arauco,camion_ligero,52.33,18.81,6,11,0.5515,10731.0,2.345
2025-01355,2025-01-12,Lebu,moto,53.5,16.53,4,10,0.2856,7267.0,1.83
2025-00739,2025-01-12,Santa Juana,furgon,15.99,19.38,6,16,0.7639,2343.0,0.563
2025-00121,2025-01-12,Penco,furgon,22.08,7.87,8,16,0.76,2519.0,0.686
2025-00011,2025-01-12,Laja,furgon,114.39,23.52,2,17,,28660.0,6.228
2025-00351,2025-01-12,Los Angeles,moto,44.26,11.16,7,10,,6461.0,1.487
