columna,dtype,n_unicos,constante,nzv_modal_pct,n_centinelas,min,max,n_outliers_z10,spearman_abs_label,auc_0_vs_resto,auc_1_vs_2,ks_train_test,ks_pvalue,meta_drift_excluida_en_E
cx,float64,1000,False,0.001,0,-0.980853184020054,-0.290109333642285,0,0.0397,0.5127,0.5284,0.317,1.5329102821122903e-81,True
cy,float64,1000,False,0.001,0,-0.900651216084606,0.724702138220818,0,0.0268,0.508,0.5192,0.3118,7.591322693923297e-79,True
extinction_z,float64,1000,False,0.001,0,0.01543103,0.251224,3,0.0071,0.5125,0.5008,0.2904,2.902449664658606e-68,True
extinction_u,float64,1000,False,0.001,0,0.05179108,0.8431818,3,0.0071,0.5125,0.5008,0.2904,2.902449664658606e-68,True
extinction_i,float64,1000,False,0.001,0,0.02074575,0.3377501,3,0.0071,0.5125,0.5008,0.2904,2.902449664658606e-68,True
extinction_g,float64,1000,False,0.001,0,0.04035525,0.6570016,3,0.0071,0.5125,0.5008,0.2904,2.902449664658606e-68,True
extinction_r,float64,1000,False,0.001,0,0.02791758,0.4545107,3,0.0071,0.5125,0.5008,0.2904,2.902449664658606e-68,True
score,float64,613,False,0.014,0,0.0,1.0,8,0.0509,0.5252,0.5599,0.2556,9.029887386522701e-53,True
cz,float64,1000,False,0.001,0,-0.0218030196184309,0.710974184125916,0,0.0445,0.5145,0.5313,0.2164,8.318714289061125e-38,True
mjd,int64,31,False,0.143,0,51608.0,54266.0,0,0.0138,0.5163,0.503,0.2078,7.189909397282263e-35,True
modelMagErr_g,float64,1000,False,0.001,0,0.001795518,2.072754,52,0.1585,0.5333,0.6601,0.1373,2.1328259727563584e-15,False
cModelMagErr_g,float64,999,False,0.002,0,0.001819104,2.686836,60,0.1583,0.532,0.6591,0.1371,2.358653855738779e-15,False
modelMagErr_r,float64,1000,False,0.001,0,0.001671969,0.2153777,9,0.0029,0.6016,0.5603,0.1319,3.064900592536919e-14,False
cModelMagErr_r,float64,1000,False,0.001,0,0.001689521,0.4779695,11,0.0035,0.6015,0.5544,0.1287,1.4129144947561982e-13,False
cModelMagErr_u,float64,1000,False,0.001,0,0.005340285,3.791267,47,0.2452,0.5199,0.7075,0.1258,5.461840695136092e-13,False
modelMagErr_u,float64,1000,False,0.001,0,0.005291035,3.236474,76,0.2526,0.5297,0.7088,0.1243,1.0858283763784566e-12,False
fiberMagErr_u,float64,1000,False,0.001,0,0.009259525,27.84264,35,0.1534,0.5144,0.6297,0.1242,1.1363895597351003e-12,False
fiberMagErr_g,float64,1000,False,0.001,0,0.001777541,2.236565,52,0.0383,0.6312,0.539,0.1183,1.560476481626079e-11,False
petroMagErr_u,float64,1000,False,0.001,0,0.01252698,47.74423,75,0.2107,0.5274,0.6729,0.1153,5.627462120577529e-11,False
psfMagErr_u,float64,1000,False,0.001,0,0.01730267,29.01885,32,0.1053,0.5074,0.5987,0.1124,1.8839468594991454e-10,False
modelMagErr_i,float64,1000,False,0.001,0,0.001659899,2.408223,5,0.0509,0.6318,0.5294,0.1106,3.9264051208199034e-10,False
zErr,float64,1000,False,0.001,0,0.0,0.2078763,6,0.3604,0.6147,0.7609,0.1102,4.6149000836486464e-10,False
cModelMag_g,float64,998,False,0.002,0,13.05554,24.95114,0,0.3049,0.5166,0.7621,0.1094,6.363959840706776e-10,False
cModelMagErr_i,float64,1000,False,0.001,0,0.001677457,2.478126,5,0.0577,0.6319,0.5233,0.1085,9.109875057574349e-10,False
petroMag_g,float64,997,False,0.002,0,13.05049,28.02268,2,0.3031,0.5192,0.7589,0.1085,9.109875057574349e-10,False
petroMag_u,float64,999,False,0.002,0,14.64519,31.69995,0,0.337,0.562,0.7655,0.1061,2.3366635921818755e-09,False
petroMagErr_g,float64,1000,False,0.001,0,0.002081373,19.37926,82,0.0645,0.6029,0.6165,0.1055,2.9473117316502674e-09,False
fiberMag_g,float64,999,False,0.002,0,16.3873,24.51481,0,0.0361,0.5296,0.5487,0.1039,5.438621250880898e-09,False
modelMag_u,float64,1000,False,0.001,0,14.70171,27.44231,0,0.3416,0.5521,0.7756,0.1029,7.937759031852163e-09,False
modelMag_g,float64,997,False,0.002,0,13.01072,25.0119,0,0.2866,0.5186,0.745,0.1019,1.1542699994324884e-08,False
modelMagErr_z,float64,1000,False,0.001,0,0.001997306,1.887241,7,0.1038,0.6521,0.5064,0.0997,2.596687642791778e-08,False
fiberMag_u,float64,1000,False,0.001,0,17.50715,26.15173,0,0.1744,0.5447,0.6314,0.0991,3.229293944966331e-08,False
cModelMag_r,float64,998,False,0.002,0,12.31575,22.71102,0,0.1804,0.5468,0.6874,0.0986,3.8687855700855785e-08,False
fiberMagErr_r,float64,1000,False,0.001,0,0.001434079,2.214086,31,0.1887,0.7353,0.5371,0.098,4.799631114053813e-08,False
petroMag_r,float64,998,False,0.002,0,12.24717,22.91708,2,0.1731,0.5452,0.6801,0.0977,5.34329033293624e-08,False
