iter	Passed	Remaining
0	25	17866
1	45	15840
2	63	14688
3	83	14546
4	105	14682
5	127	14796
6	150	14875
7	173	14988
8	194	14954
9	215	14867
10	234	14668
11	256	14680
12	277	14639
13	297	14594
14	316	14442
15	333	14273
16	352	14181
17	372	14127
18	391	14040
19	409	13937
20	429	13874
21	447	13790
22	466	13731
23	485	13674
24	507	13706
25	525	13620
26	543	13538
27	560	13457
28	578	13375
29	597	13338
30	616	13303
31	634	13254
32	654	13237
33	672	13171
34	692	13155
35	709	13094
36	727	13037
37	747	13030
38	764	12961
39	783	12929
40	804	12932
41	824	12921
42	841	12864
43	858	12804
44	878	12793
45	896	12750
46	915	12721
47	933	12677
48	950	12630
49	968	12589
50	986	12548
51	1004	12522
52	1021	12468
53	1037	12413
54	1056	12385
55	1074	12351
56	1093	12339
57	1113	12321
58	1130	12282
59	1150	12275
60	1169	12248
61	1188	12228
62	1212	12257
63	1235	12273
64	1258	12296
65	1285	12350
66	1307	12353
67	1332	12381
68	1352	12363
69	1371	12340
70	1394	12351
71	1420	12391
72	1448	12443
73	1476	12487
74	1501	12514
75	1523	12505
76	1545	12505
77	1566	12494
78	1585	12460
79	1605	12440
80	1626	12432
81	1645	12398
82	1663	12367
83	1683	12345
84	1700	12305
85	1719	12279
86	1737	12242
87	1756	12215
88	1776	12195
89	1797	12182
90	1814	12143
91	1832	12113
92	1851	12081
93	1870	12061
94	1889	12034
95	1910	12021
96	1929	11994
97	1947	11964
98	1965	11932
99	1983	11903
100	2003	11880
101	2021	11850
102	2040	11827
103	2057	11790
104	2075	11758
105	2095	11743
106	2112	11705
107	2130	11676
108	2150	11661
109	2175	11669
110	2199	11670
111	2216	11635
112	2232	11597
113	2251	11575
114	2268	11537
115	2285	11506
116	2305	11489
117	2322	11455
118	2338	11419
119	2358	11397
120	2375	11368
121	2391	11331
122	2391	11331
123	2555	11966
124	2619	12145
125	2686	12336
126	2737	12450
127	2817	12689
128	2840	12671
129	2867	12668
130	2892	12658
131	2915	12642
132	2955	12695
133	3009	12808
134	3069	12943
135	3108	12986
136	3163	13096
137	3206	13153
138	3326	13523
139	3394	13676
140	3459	13812
141	3500	13851
142	3544	13904
143	3622	14085
144	3676	14169
145	3722	14222
146	3753	14218
147	3784	14212
148	3828	14254
149	3877	14313
150	3929	14380
151	3961	14378
152	4009	14427
153	4053	14466
154	4106	14531
155	4154	14579
156	4207	14646
157	4239	14636
158	4280	14657
159	4319	14669
160	4348	14648
161	4388	14666
162	4422	14658
163	4448	14627
164	4468	14576
165	4483	14509
166	4499	14446
167	4518	14393
168	4541	14355
169	4560	14301
170	4580	14251
171	4594	14187
172	4621	14161
173	4648	14133
174	4668	14086
175	4688	14039
176	4722	14032
