id_entrega,fecha,comuna_destino,tipo_vehiculo,distancia_km,peso_kg,n_paquetes,hora_salida,score_gps_ruta,costo_combustible_clp,horas_entrega
2024-01170,2024-01-01,San Pedro de la Paz,moto,14.58,13.31,5,10,0.7188,2660.0,0.435
2024-00072,2024-01-01,Tome,moto,31.39,60.29,7,17,0.7617,6585.0,1.449
2024-00247,2024-01-01,Hualqui,furgon,20.34,21.47,4,15,0.6789,2009.0,0.572
2024-00058,2024-01-02,Tome,moto,3.14,20.22,5,7,0.6829,2619.0,0.523
2024-00589,2024-01-02,Lota,moto,19.73,7.51,8,19,0.6312,3066.0,0.981
2024-01148,2024-01-02,Lota,furgon,33.81,2.77,3,13,0.1652,5742.0,1.478
2024-00294,2024-01-02,Concepcion,furgon,21.02,16.04,1,17,0.8569,4863.0,0.902
2024-01115,2024-01-03,Tome,furgon,20.61,16.2,7,6,0.8027,3277.0,0.993
2024-00917,2024-01-03,Penco,camion_ligero,16.12,28.33,3,10,0.6078,5570.0,1.111
2024-00314,2024-01-04,Hualqui,moto,26.02,15.81,1,16,0.5996,2661.0,0.688
2024-00528,2024-01-04,San Pedro de la Paz,furgon,16.67,6.32,8,12,0.7215,4914.0,1.128
2024-00961,2024-01-05,Penco,camion_ligero,23.17,5.23,6,9,0.1706,7309.0,1.719
2024-00684,2024-01-05,San Pedro de la Paz,furgon,6.86,2.24,4,7,0.6036,2848.0,0.461
2024-01191,2024-01-05,San Pedro de la Paz,moto,21.55,18.89,1,9,0.3579,1714.0,0.63
2024-00867,2024-01-06,Penco,furgon,17.27,4.65,8,16,0.325,4700.0,1.133
2024-00901,2024-01-06,Hualpen,moto,14.31,10.27,4,10,0.6387,1174.0,0.337
2024-00024,2024-01-06,Hualqui,furgon,12.97,27.54,7,9,0.6005,3691.0,0.864
2024-00111,2024-01-06,Concepcion,camion_ligero,26.71,32.34,1,13,0.5309,5736.0,1.32
2024-00576,2024-01-06,Hualpen,furgon,28.2,56.11,4,11,0.5498,4548.0,1.199
2024-00226,2024-01-06,Florida,camion_ligero,18.07,15.12,6,17,0.7585,6233.0,1.452
2024-00544,2024-01-07,Florida,furgon,15.16,24.29,3,7,0.7416,2489.0,0.682
2024-00802,2024-01-07,Talcahuano,furgon,11.38,18.56,6,6,0.6295,3889.0,0.813
2024-00584,2024-01-08,Concepcion,furgon,14.35,48.29,2,16,0.7257,1972.0,0.705
2024-00334,2024-01-08,Tome,furgon,30.77,22.69,8,16,0.6291,5525.0,1.636
2024-00009,2024-01-08,Florida,camion_ligero,23.6,12.66,1,15,0.4501,4675.0,0.958
2024-00090,2024-01-08,Hualpen,moto,13.01,56.93,4,6,0.567,3101.0,0.835
2024-01135,2024-01-09,Hualpen,furgon,19.53,38.44,3,18,0.4715,5776.0,1.089
2024-01169,2024-01-09,San Pedro de la Paz,furgon,18.94,33.44,2,17,0.8424,3562.0,0.89
2024-00296,2024-01-10,Santa Juana,camion_ligero,19.38,4.87,7,10,0.4161,4450.0,1.083
2024-01119,2024-01-10,Concepcion,furgon,22.68,12.15,7,17,0.5488,4863.0,1.381
2024-00269,2024-01-10,Lota,furgon,13.07,5.88,3,8,0.2667,2555.0,0.771
2024-00610,2024-01-10,Penco,moto,23.14,10.27,8,11,0.5759,5140.0,1.126
2024-00567,2024-01-10,Penco,furgon,21.05,4.79,2,8,0.5979,4405.0,1.151
2024-00185,2024-01-11,Coronel,moto,23.09,14.67,5,8,0.6398,3655.0,1.016
2024-00876,2024-01-12,Penco,moto,21.19,5.19,6,18,0.7031,3556.0,1.008
2024-00499,2024-01-12,Hualpen,moto,25.25,4.37,2,17,0.5847,3631.0,0.87
2024-00729,2024-01-12,Penco,furgon,20.15,18.25,1,11,0.6654,1521.0,0.432
2024-00763,2024-01-12,Florida,moto,12.35,63.98,8,16,0.2831,4781.0,1.15
2024-00711,2024-01-12,Santa Juana,moto,27.68,21.78,2,12,0.613,2791.0,0.895
2024-00927,2024-01-12,Penco,camion_ligero,22.72,4.54,6,10,0.536,6450.0,1.327
2024-00532,2024-01-12,Santa Juana,moto,15.38,32.58,5,8,0.5817,3085.0,0.742
2024-01075,2024-01-13,Tome,furgon,11.33,21.36,1,8,0.6174,3514.0,0.622
2024-00647,2024-01-13,Chiguayante,moto,19.98,38.91,2,9,0.6068,5389.0,1.195
2024-00392,2024-01-13,Penco,furgon,19.72,30.43,4,16,0.8332,3986.0,1.005
2024-00523,2024-01-14,San Pedro de la Paz,furgon,17.04,43.19,3,15,0.6951,5043.0,0.955
2024-01005,2024-01-14,Penco,moto,12.36,23.95,3,13,0.787,2743.0,0.622
2024-00152,2024-01-14,Lota,furgon,9.7,17.15,8,15,0.5579,4583.0,0.954
2024-00298,2024-01-14,Lota,furgon,15.27,23.32,7,18,0.7322,5052.0,1.193
2024-00686,2024-01-14,Hualqui,camion_ligero,13.16,9.35,1,15,0.7154,1176.0,0.548
2024-00121,2024-01-15,San Pedro de la Paz,furgon,18.09,17.15,4,18,0.6417,4794.0,1.039
2024-00239,2024-01-15,Florida,moto,15.22,44.5,6,19,0.4323,3343.0,0.777
2024-01009,2024-01-15,Penco,camion_ligero,19.73,14.83,3,12,0.705,4697.0,1.005
2024-00696,2024-01-16,Hualpen,furgon,15.87,12.7,4,18,0.5223,5590.0,1.166
2024-01001,2024-01-16,Florida,furgon,28.6,7.99,1,12,0.3587,5047.0,1.27
2024-00730,2024-01-16,Concepcion,furgon,18.56,19.21,4,9,0.4689,4722.0,1.133
2024-00859,2024-01-16,Talcahuano,moto,6.52,27.93,1,18,0.7454,2680.0,0.637
2024-00762,2024-01-16,Tome,furgon,21.38,29.34,1,18,0.7384,6372.0,1.296
2024-00157,2024-01-17,San Pedro de la Paz,camion_ligero,6.68,26.1,1,6,0.6539,1606.0,0.204
2024-01051,2024-01-17,Chiguayante,furgon,10.49,21.9,6,17,0.3952,4476.0,0.877
2024-00235,2024-01-17,Chiguayante,moto,23.08,15.88,6,7,0.7169,4831.0,1.105
2024-01156,2024-01-17,Hualqui,moto,20.0,18.55,4,14,0.6769,3133.0,0.685
2024-00060,2024-01-17,Florida,moto,19.28,4.43,8,8,0.3106,4600.0,1.147
2024-01066,2024-01-17,San Pedro de la Paz,furgon,25.06,15.84,1,16,0.835,4397.0,0.988
2024-01103,2024-01-18,Chiguayante,camion_ligero,15.78,13.37,7,19,0.7378,4874.0,1.111
2024-00232,2024-01-18,Lota,moto,19.55,9.98,8,9,0.5988,4952.0,1.184
2024-00825,2024-01-18,Hualpen,camion_ligero,27.59,10.77,2,17,0.6487,8015.0,1.79
2024-01153,2024-01-18,Concepcion,camion_ligero,24.46,51.36,7,19,0.365,8595.0,2.037
2024-01145,2024-01-19,Chiguayante,furgon,12.91,30.33,5,8,0.721,5728.0,1.175
2024-00263,2024-01-20,Hualqui,furgon,16.83,60.36,4,19,0.6693,6438.0,1.365
2024-00321,2024-01-20,Talcahuano,furgon,8.48,19.92,7,19,0.8532,3380.0,0.913
2024-00333,2024-01-21,Talcahuano,camion_ligero,20.99,26.4,3,12,0.3374,2907.0,0.818
2024-00477,2024-01-21,Hualpen,camion_ligero,11.9,22.64,6,8,0.2711,4624.0,1.043
2024-00873,2024-01-21,San Pedro de la Paz,moto,23.7,26.02,3,11,0.6432,3327.0,0.737
2024-00620,2024-01-21,San Pedro de la Paz,moto,15.87,17.7,8,19,0.6988,3871.0,0.815
2024-00390,2024-01-21,Penco,furgon,10.97,3.2,2,12,0.7475,595.0,0.201
2024-01006,2024-01-21,Concepcion,moto,15.81,20.47,2,16,0.454,2480.0,0.505
2024-01111,2024-01-22,Coronel,furgon,26.43,16.01,1,10,0.6769,3558.0,0.866
2024-00813,2024-01-23,Talcahuano,moto,6.64,27.47,2,9,0.789,2350.0,0.381
2024-00249,2024-01-24,Hualpen,moto,22.22,17.26,8,11,0.5683,5791.0,1.254
2024-00180,2024-01-24,San Pedro de la Paz,camion_ligero,6.1,23.15,6,19,0.7975,2648.0,0.591
2024-00557,2024-01-24,Coronel,furgon,13.5,12.06,3,8,0.7573,1056.0,0.563
2024-01026,2024-01-25,Tome,camion_ligero,16.98,16.14,5,16,0.6441,2979.0,0.715
2024-00642,2024-01-25,Penco,moto,8.01,24.14,7,19,0.264,5148.0,1.024
2024-00371,2024-01-25,Penco,camion_ligero,24.91,17.12,4,16,0.566,5455.0,1.5
2024-00563,2024-01-26,Talcahuano,moto,9.13,30.27,6,8,0.5597,1856.0,0.402
2024-00616,2024-01-26,Lota,moto,31.23,13.64,4,18,0.7278,5662.0,1.336
2024-00300,2024-01-26,Penco,moto,17.17,16.19,3,17,0.4762,3187.0,0.803
2024-00860,2024-01-27,Tome,camion_ligero,14.99,7.98,8,6,0.7074,4702.0,0.998
2024-00559,2024-01-27,Concepcion,furgon,15.61,4.12,5,13,0.6725,4576.0,0.86
2024-00062,2024-01-28,Lota,furgon,20.38,2.65,7,11,0.6247,5735.0,1.237
2024-00456,2024-01-28,San Pedro de la Paz,camion_ligero,24.72,10.92,3,6,0.3763,4872.0,1.135
2024-00467,2024-01-29,Lota,camion_ligero,23.54,29.79,2,12,0.5897,4951.0,1.183
2024-00363,2024-01-29,Hualqui,furgon,12.12,9.41,5,7,0.587,3587.0,0.641
2024-00999,2024-01-29,Chiguayante,furgon,10.55,7.95,2,10,0.3194,1038.0,0.402
2024-00564,2024-01-30,Concepcion,moto,14.82,21.23,3,18,0.6317,3829.0,0.938
2024-00872,2024-01-30,Florida,moto,25.93,22.64,1,16,0.3871,2259.0,0.804
2024-00949,2024-01-30,Hualqui,furgon,15.05,9.68,8,12,0.5895,2369.0,0.646
2024-00065,2024-01-30,Coronel,furgon,7.52,19.51,2,10,0.5241,872.0,0.15
2024-00775,2024-01-30,Concepcion,moto,16.13,14.72,3,15,0.4014,1920.0,0.446
2024-00750,2024-01-31,Chiguayante,moto,25.08,25.57,6,18,0.7817,4355.0,1.205
2024-00468,2024-01-31,San Pedro de la Paz,furgon,13.54,2.58,1,18,0.6421,2482.0,0.509
2024-00552,2024-01-31,Tome,moto,19.72,5.36,3,15,0.5045,3469.0,0.876
2024-00430,2024-02-01,Florida,camion_ligero,19.08,26.82,3,11,0.3276,4827.0,1.237
2024-00783,2024-02-01,Lota,furgon,12.67,26.7,7,16,0.4871,4595.0,0.946
2024-00798,2024-02-02,Hualqui,moto,14.15,21.62,8,10,0.5927,2403.0,0.648
2024-00440,2024-02-02,San Pedro de la Paz,furgon,15.86,24.67,2,19,0.5115,3668.0,1.013
2024-00715,2024-02-03,San Pedro de la Paz,moto,33.45,2.21,6,12,0.5533,5838.0,1.309
2024-00498,2024-02-03,San Pedro de la Paz,furgon,23.43,15.07,5,19,0.5295,5815.0,1.426
2024-00257,2024-02-03,Concepcion,furgon,19.54,6.98,4,15,0.6777,1585.0,0.676
2024-01086,2024-02-03,Hualpen,moto,18.78,11.32,6,7,0.4263,3648.0,0.891
2024-00164,2024-02-04,Santa Juana,furgon,16.97,56.97,3,8,0.7078,4803.0,1.147
2024-00500,2024-02-04,Penco,furgon,11.17,13.16,2,16,0.6662,2622.0,0.472
